model,task,layer_idx,count,avg_image_ratio,avg_prompt_ratio,avg_gen_ratio
Zhoues/RoboRefer-2B-SFT,Relation,11,650,0.43175142728365384,0.5124887319711539,0.05575941819411058
Zhoues/RoboRefer-2B-SFT,Relation,12,650,0.4147614933894231,0.4777392578125,0.10750150240384615
Zhoues/RoboRefer-2B-SFT,Relation,13,650,0.3185606971153846,0.6342795973557692,0.047156747671274035
Zhoues/RoboRefer-2B-SFT,Relation,14,650,0.28474759615384615,0.7000863882211539,0.015170511099008414
Zhoues/RoboRefer-2B-SFT,Relation,15,650,0.39865384615384614,0.5140452223557692,0.08730421799879808
Zhoues/RoboRefer-2B-SFT,Relation,16,650,0.14006014310396633,0.7294350961538462,0.130509033203125
Zhoues/RoboRefer-2B-SFT,Relation,17,650,0.19081345778245193,0.7846769831730769,0.02450934776893029
Zhoues/RoboRefer-2B-SFT,Relation,18,650,0.3619745342548077,0.5613773287259616,0.07664832481971154
Zhoues/RoboRefer-2B-SFT,Relation,19,650,0.5787879356971154,0.4011422025240385,0.020072467510516827
Zhoues/RoboRefer-2B-SFT,Relation,20,650,0.5276479867788462,0.44948467548076926,0.02286839411808894
Zhoues/RoboRefer-2B-SFT,Relation,21,650,0.5586008864182692,0.38611177884615383,0.05529832106370192
Zhoues/RoboRefer-2B-SFT,Relation,22,650,0.5801224459134615,0.41416841947115385,0.005716643700232873
Zhoues/RoboRefer-2B-SFT,Relation,23,650,0.5191331129807693,0.3753132512019231,0.10555232121394231
Zhoues/RoboRefer-2B-SFT,Relation,24,650,0.5449406550480769,0.3344441105769231,0.12061129056490384
Zhoues/RoboRefer-2B-SFT,Relation,25,650,0.6002332481971154,0.3919831730769231,0.007800498375525842
Zhoues/RoboRefer-2B-SFT,Relation,26,650,0.47841947115384614,0.46250112680288463,0.05907461313100962
Zhoues/RoboRefer-2B-SFT,Relation,27,650,0.4269384765625,0.5203121243990385,0.052765831580528846
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,0,788,nan,nan,nan
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,1,788,0.09462637344592718,0.8197814631583121,0.08558647039578046
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,2,788,0.45009523962960024,0.4786770428497779,0.07123228741176238
